Timestamp,Date,Stablecoins Mcap,Bridged TVL
1652313600000,2022-05-12,279413636,
1652400000000,2022-05-13,285409816,
1652486400000,2022-05-14,281313730,
1652572800000,2022-05-15,281956820,
1652659200000,2022-05-16,281780355,
1652745600000,2022-05-17,282057335,
1652832000000,2022-05-18,258091269,
1652918400000,2022-05-19,258920842,
1653004800000,2022-05-20,264507216,
1653091200000,2022-05-21,267237742,
1653177600000,2022-05-22,268772020,
1653264000000,2022-05-23,270276518,
1653350400000,2022-05-24,274137110,
1653436800000,2022-05-25,274091491,
1653523200000,2022-05-26,255176009,
1653609600000,2022-05-27,262647252,
1653696000000,2022-05-28,258849080,
1653782400000,2022-05-29,249754936,
1653868800000,2022-05-30,250083108,
1653955200000,2022-05-31,303836729,
1654041600000,2022-06-01,331319944,
1654128000000,2022-06-02,361239009,
1654214400000,2022-06-03,372718556,
1654300800000,2022-06-04,386103568,
1654387200000,2022-06-05,390742530,
1654473600000,2022-06-06,389487106,
1654560000000,2022-06-07,389088959,
1654646400000,2022-06-08,385673556,
1654732800000,2022-06-09,384743576,
1654819200000,2022-06-10,381440060,
1654905600000,2022-06-11,381667140,
1654992000000,2022-06-12,380625369,
1655078400000,2022-06-13,378980823,
1655164800000,2022-06-14,373035787,
1655251200000,2022-06-15,373988969,
1655337600000,2022-06-16,371851806,
1655424000000,2022-06-17,370677371,
1655510400000,2022-06-18,368438850,
1655596800000,2022-06-19,368810579,
1655683200000,2022-06-20,370557317,
1655769600000,2022-06-21,372893019,
1655856000000,2022-06-22,374365672,
1655942400000,2022-06-23,382032451,
1656028800000,2022-06-24,379430325,
1656115200000,2022-06-25,378573407,
1656201600000,2022-06-26,377595291,
1656288000000,2022-06-27,375630112,
1656374400000,2022-06-28,381677914,
1656460800000,2022-06-29,382757505,
1656547200000,2022-06-30,341891316,
1656633600000,2022-07-01,343056611,
1656720000000,2022-07-02,341230072,
1656806400000,2022-07-03,341068381,
1656892800000,2022-07-04,341824485,
1656979200000,2022-07-05,334812509,
1657065600000,2022-07-06,333508339,
1657152000000,2022-07-07,334619880,
1657238400000,2022-07-08,335233519,
1657324800000,2022-07-09,335757359,
1657411200000,2022-07-10,335939112,
1657497600000,2022-07-11,327102480,
1657584000000,2022-07-12,328965040,
1657670400000,2022-07-13,323968390,
1657756800000,2022-07-14,323817069,
1657843200000,2022-07-15,330060496,
1657929600000,2022-07-16,331363007,
1658016000000,2022-07-17,334515968,
1658102400000,2022-07-18,336127710,
1658188800000,2022-07-19,334330877,
1658275200000,2022-07-20,347599763,
1658361600000,2022-07-21,353161971,
1658448000000,2022-07-22,357568758,
1658534400000,2022-07-23,368739794,
1658620800000,2022-07-24,367473397,
1658707200000,2022-07-25,372281448,
1658793600000,2022-07-26,374586207,
1658880000000,2022-07-27,368062567,
1658966400000,2022-07-28,381259410,
1659052800000,2022-07-29,401475743,
1659139200000,2022-07-30,424320341,
1659225600000,2022-07-31,435589881,
1659312000000,2022-08-01,442361839,
1659398400000,2022-08-02,444975635,
1659484800000,2022-08-03,448312349,
1659571200000,2022-08-04,432620605,
1659657600000,2022-08-05,521779489,
1659744000000,2022-08-06,653878394,
1659830400000,2022-08-07,718058720,
1659916800000,2022-08-08,743825886,
1660003200000,2022-08-09,778092695,
1660089600000,2022-08-10,778203871,
1660176000000,2022-08-11,768916274,
1660262400000,2022-08-12,771677019,
1660348800000,2022-08-13,775073341,
1660435200000,2022-08-14,762084716,
1660521600000,2022-08-15,758599101,
1660608000000,2022-08-16,751070317,
1660694400000,2022-08-17,757812338,
1660780800000,2022-08-18,758212033,
1660867200000,2022-08-19,734806935,
1660953600000,2022-08-20,731740957,
1661040000000,2022-08-21,711822830,
1661126400000,2022-08-22,711731256,
1661212800000,2022-08-23,700142665,
1661299200000,2022-08-24,720996173,
1661385600000,2022-08-25,723077418,
1661472000000,2022-08-26,693420754,
1661558400000,2022-08-27,690706835,
1661644800000,2022-08-28,693537791,
1661731200000,2022-08-29,688623995,
1661817600000,2022-08-30,689932732,
1661904000000,2022-08-31,698698944,
1661990400000,2022-09-01,683957535,
1662076800000,2022-09-02,690616117,
1662163200000,2022-09-03,692327142,
1662249600000,2022-09-04,689849766,
1662336000000,2022-09-05,691132249,
1662422400000,2022-09-06,694470901,
1662508800000,2022-09-07,696739833,
1662595200000,2022-09-08,704643622,
1662681600000,2022-09-09,697768467,
1662768000000,2022-09-10,704544150,
1662854400000,2022-09-11,707704846,
1662940800000,2022-09-12,710536258,
1663027200000,2022-09-13,710312798,
1663113600000,2022-09-14,710570805,
1663200000000,2022-09-15,708131399,
1663286400000,2022-09-16,712325740,
1663372800000,2022-09-17,718903686,
1663459200000,2022-09-18,723367996,
1663545600000,2022-09-19,724236802,
1663632000000,2022-09-20,725235305,
1663718400000,2022-09-21,725629171,
1663804800000,2022-09-22,717659120,
1663891200000,2022-09-23,722019990,
1663977600000,2022-09-24,725068112,
1664064000000,2022-09-25,727783805,
1664150400000,2022-09-26,719677120,
1664236800000,2022-09-27,719879844,
1664323200000,2022-09-28,721013438,
1664409600000,2022-09-29,741497177,
1664496000000,2022-09-30,754540810,
1664582400000,2022-10-01,755359196,
1664668800000,2022-10-02,754661195,
1664755200000,2022-10-03,763295733,
1664841600000,2022-10-04,768023960,
1664928000000,2022-10-05,767276697,
1665014400000,2022-10-06,767247547,
1665100800000,2022-10-07,778045200,
1665187200000,2022-10-08,776805933,
1665273600000,2022-10-09,778776663,
1665360000000,2022-10-10,780574831,
1665446400000,2022-10-11,772425805,
1665532800000,2022-10-12,782124693,
1665619200000,2022-10-13,782139626,
1665705600000,2022-10-14,782323786,
1665792000000,2022-10-15,788266955,
1665878400000,2022-10-16,787504891,
1665964800000,2022-10-17,788335997,
1666051200000,2022-10-18,764843863,
1666137600000,2022-10-19,772578637,
1666224000000,2022-10-20,771669258,
1666310400000,2022-10-21,774530930,
1666396800000,2022-10-22,770731839,
1666483200000,2022-10-23,769930001,
1666569600000,2022-10-24,768402958,
1666656000000,2022-10-25,763147165,
1666742400000,2022-10-26,766253077,
1666828800000,2022-10-27,772415542,
1666915200000,2022-10-28,746735686,
1667001600000,2022-10-29,748593472,
1667088000000,2022-10-30,752908607,
1667174400000,2022-10-31,746932819,
1667260800000,2022-11-01,741344362,
1667347200000,2022-11-02,740790471,
1667433600000,2022-11-03,735192984,
1667520000000,2022-11-04,700679553,
1667606400000,2022-11-05,699767360,
1667692800000,2022-11-06,689934660,
1667779200000,2022-11-07,688806232,
1667865600000,2022-11-08,686387682,
1667952000000,2022-11-09,683701521,
1668038400000,2022-11-10,680889987,
1668124800000,2022-11-11,670139512,
1668211200000,2022-11-12,657607270,
1668297600000,2022-11-13,651018739,
1668384000000,2022-11-14,646631577,
1668470400000,2022-11-15,603944279,
1668556800000,2022-11-16,601051903,
1668643200000,2022-11-17,597077987,
1668729600000,2022-11-18,595235400,
1668816000000,2022-11-19,578532735,
1668902400000,2022-11-20,575457501,
1668988800000,2022-11-21,570874034,
1669075200000,2022-11-22,556700857,
1669161600000,2022-11-23,556808934,
1669248000000,2022-11-24,556253152,
1669334400000,2022-11-25,556730377,
1669420800000,2022-11-26,559947164,
1669507200000,2022-11-27,560736386,
1669593600000,2022-11-28,551936741,
1669680000000,2022-11-29,531346970,
1669766400000,2022-11-30,523287810,
1669852800000,2022-12-01,522566446,
1669939200000,2022-12-02,525614393,
1670025600000,2022-12-03,525927561,
1670112000000,2022-12-04,514715036,
1670198400000,2022-12-05,520184238,
1670284800000,2022-12-06,518924723,
1670371200000,2022-12-07,520363639,
1670457600000,2022-12-08,521807042,
1670544000000,2022-12-09,522179491,
1670630400000,2022-12-10,521550834,
1670716800000,2022-12-11,521591507,
1670803200000,2022-12-12,522814220,
1670889600000,2022-12-13,518611454,
1670976000000,2022-12-14,520890409,
1671062400000,2022-12-15,523451992,
1671148800000,2022-12-16,518453173,
1671235200000,2022-12-17,514462934,
1671321600000,2022-12-18,514395162,
1671408000000,2022-12-19,514086538,
1671494400000,2022-12-20,516165217,
1671580800000,2022-12-21,522406240,
1671667200000,2022-12-22,525172681,
1671753600000,2022-12-23,523488733,
1671840000000,2022-12-24,523494840,
1671926400000,2022-12-25,523736938,
1672012800000,2022-12-26,526356833,
1672099200000,2022-12-27,524268261,
1672185600000,2022-12-28,525144238,
1672272000000,2022-12-29,523947221,
1672358400000,2022-12-30,524289251,
1672444800000,2022-12-31,524853181,
1672531200000,2023-01-01,529791866,
1672617600000,2023-01-02,529375446,
1672704000000,2023-01-03,530697004,
1672790400000,2023-01-04,530279406,
1672876800000,2023-01-05,533545410,
1672963200000,2023-01-06,535406830,
1673049600000,2023-01-07,537012935,
1673136000000,2023-01-08,540680632,
1673222400000,2023-01-09,541095152,
1673308800000,2023-01-10,543069161,
1673395200000,2023-01-11,545055842,
1673481600000,2023-01-12,549436329,
1673568000000,2023-01-13,553758184,
1673654400000,2023-01-14,558635825,
1673740800000,2023-01-15,564051787,
1673827200000,2023-01-16,567154714,
1673913600000,2023-01-17,572945053,
1674000000000,2023-01-18,566767722,
1674086400000,2023-01-19,572117198,
1674172800000,2023-01-20,577576723,
1674259200000,2023-01-21,580321321,
1674345600000,2023-01-22,586510419,
1674432000000,2023-01-23,590849462,
1674518400000,2023-01-24,598016351,
1674604800000,2023-01-25,606042933,
1674691200000,2023-01-26,617303538,
1674777600000,2023-01-27,624510171,
1674864000000,2023-01-28,628088615,
1674950400000,2023-01-29,635636458,
1675036800000,2023-01-30,637077202,
1675123200000,2023-01-31,642326722,
1675209600000,2023-02-01,646057778,
1675296000000,2023-02-02,650034959,
1675382400000,2023-02-03,660403647,
1675468800000,2023-02-04,669359258,
1675555200000,2023-02-05,672524664,
1675641600000,2023-02-06,673947419,
1675728000000,2023-02-07,681376078,
1675814400000,2023-02-08,696150420,
1675900800000,2023-02-09,705380539,
1675987200000,2023-02-10,703226561,
1676073600000,2023-02-11,700453444,
1676160000000,2023-02-12,686789539,
1676246400000,2023-02-13,675013347,
1676332800000,2023-02-14,663612714,
1676419200000,2023-02-15,646144227,
1676505600000,2023-02-16,631098843,
1676592000000,2023-02-17,621636361,
1676678400000,2023-02-18,630788185,
1676764800000,2023-02-19,616781984,
1676851200000,2023-02-20,593316763,
1676937600000,2023-02-21,599257884,
1677024000000,2023-02-22,614883543,
1677110400000,2023-02-23,616230309,
1677196800000,2023-02-24,620086487,
1677283200000,2023-02-25,623921327,
1677369600000,2023-02-26,624703642,
1677456000000,2023-02-27,625681734,
1677542400000,2023-02-28,628355946,
1677628800000,2023-03-01,642827708,
1677715200000,2023-03-02,642953446,
1677801600000,2023-03-03,643944333,
1677888000000,2023-03-04,650213322,
1677974400000,2023-03-05,655176253,
1678060800000,2023-03-06,655926614,
1678147200000,2023-03-07,659247912,
1678233600000,2023-03-08,660637441,
1678320000000,2023-03-09,662174057,
1678406400000,2023-03-10,657558503,
1678492800000,2023-03-11,650647541,
1678579200000,2023-03-12,618313465,
1678665600000,2023-03-13,639777617,
1678752000000,2023-03-14,657235005,
1678838400000,2023-03-15,661418380,
1678924800000,2023-03-16,666163697,
1679011200000,2023-03-17,675428879,
1679097600000,2023-03-18,678545561,
1679184000000,2023-03-19,685206549,
1679270400000,2023-03-20,686355291,
1679356800000,2023-03-21,686029656,
1679443200000,2023-03-22,684487376,
1679529600000,2023-03-23,688062166,
1679616000000,2023-03-24,662967727,
1679702400000,2023-03-25,673478591,
1679788800000,2023-03-26,676059731,
1679875200000,2023-03-27,669500733,
1679961600000,2023-03-28,669070276,
1680048000000,2023-03-29,666603492,
1680134400000,2023-03-30,665652265,
1680220800000,2023-03-31,656210581,
1680307200000,2023-04-01,658102144,
1680393600000,2023-04-02,661272876,
1680480000000,2023-04-03,662610694,
1680566400000,2023-04-04,662977095,
1680652800000,2023-04-05,654712698,
1680739200000,2023-04-06,658233632,
1680825600000,2023-04-07,658636992,
1680912000000,2023-04-08,660405417,
1680998400000,2023-04-09,674126845,
1681084800000,2023-04-10,669406763,
1681171200000,2023-04-11,671367208,
1681257600000,2023-04-12,671611810,
1681344000000,2023-04-13,656649275,
1681430400000,2023-04-14,653584099,
1681516800000,2023-04-15,649605659,
1681603200000,2023-04-16,644724512,
1681689600000,2023-04-17,648974879,
1681776000000,2023-04-18,649086297,
1681862400000,2023-04-19,650822784,
1681948800000,2023-04-20,657618813,
1682035200000,2023-04-21,660395096,
1682121600000,2023-04-22,661972274,
1682208000000,2023-04-23,664938972,
1682294400000,2023-04-24,666470645,
1682380800000,2023-04-25,657012616,
1682467200000,2023-04-26,658036414,
1682553600000,2023-04-27,659794257,
1682640000000,2023-04-28,643820292,
1682726400000,2023-04-29,628391136,
1682812800000,2023-04-30,628595329,
1682899200000,2023-05-01,628927331,
1682985600000,2023-05-02,626936324,
1683072000000,2023-05-03,629278319,
1683158400000,2023-05-04,626512282,
1683244800000,2023-05-05,629092843,
1683331200000,2023-05-06,629260282,
1683417600000,2023-05-07,625756345,
1683504000000,2023-05-08,626346902,
1683590400000,2023-05-09,628623645,
1683676800000,2023-05-10,630077588,
1683763200000,2023-05-11,627748652,
1683849600000,2023-05-12,629586148,
1683936000000,2023-05-13,629215127,
1684022400000,2023-05-14,628360868,
1684108800000,2023-05-15,613104761,
1684195200000,2023-05-16,613569688,
1684281600000,2023-05-17,611486458,
1684368000000,2023-05-18,597606297,
1684454400000,2023-05-19,600324712,
1684540800000,2023-05-20,599437135,
