Timestamp,Date,Stablecoins Mcap,Bridged TVL
1739318400000,2025-02-12,5059066,
1739404800000,2025-02-13,5161626,18584698
1739491200000,2025-02-14,5171721,18780064
1739577600000,2025-02-15,5142722,19851032
1739664000000,2025-02-16,5167178,19862463
1739750400000,2025-02-17,5437783,19925151
1739836800000,2025-02-18,5539787,20720672
1739923200000,2025-02-19,5443226,20077337
1740009600000,2025-02-20,5457037,20476548
1740096000000,2025-02-21,4974964,20786023
1740182400000,2025-02-22,5382523,20306910
1740268800000,2025-02-23,5398058,21360362
1740355200000,2025-02-24,5404585,21092980
1740441600000,2025-02-25,5450948,20341524
1740528000000,2025-02-26,5414829,19834106
1740614400000,2025-02-27,3731026,18542764
1740700800000,2025-02-28,4674037,18128425
1740787200000,2025-03-01,4649132,17627938
1740873600000,2025-03-02,4671582,17489253
1740960000000,2025-03-03,4672662,20001172
1741046400000,2025-03-04,5002522,17046622
1741132800000,2025-03-05,5269087,17405318
1741219200000,2025-03-06,5602034,18593747
1741305600000,2025-03-07,6224743,18500680
1741392000000,2025-03-08,6494895,17927503
1741478400000,2025-03-09,6621487,18549193
1741564800000,2025-03-10,6653677,17045977
1741651200000,2025-03-11,5823544,15803596
1741737600000,2025-03-12,5213302,16326227
1741824000000,2025-03-13,5810378,13029251
1741910400000,2025-03-14,5813476,13113272
1741996800000,2025-03-15,5818018,13215681
1742083200000,2025-03-16,5925896,13689340
1742169600000,2025-03-17,6246084,13392703
1742256000000,2025-03-18,6347335,13688410
1742342400000,2025-03-19,6415045,13712251
1742428800000,2025-03-20,7260074,14646659
1742515200000,2025-03-21,7358783,14286185
1742601600000,2025-03-22,6517910,14449935
1742688000000,2025-03-23,6516946,14716584
1742774400000,2025-03-24,6519806,14806745
1742860800000,2025-03-25,5554347,15506789
1742947200000,2025-03-26,5556969,15379179
1743033600000,2025-03-27,6926579,15055124
1743120000000,2025-03-28,6971381,14427826
1743206400000,2025-03-29,7197973,14427826
1743292800000,2025-03-30,6973185,13931632
1743379200000,2025-03-31,6777618,13823266
1743465600000,2025-04-01,6257426,13873763
1743552000000,2025-04-02,6367051,14778993
1743638400000,2025-04-03,7828645,12573687
1743724800000,2025-04-04,7453029,12804836
1743811200000,2025-04-05,5222021,12925094
1743897600000,2025-04-06,5207891,12925094
1743984000000,2025-04-07,5197851,12925094
1744070400000,2025-04-08,7661530,12925094
1744156800000,2025-04-09,7690521,12925094
1744243200000,2025-04-10,6856936,12925094
1744329600000,2025-04-11,7550173,97669932
1744416000000,2025-04-12,6230707,97669932
1744502400000,2025-04-13,6247942,97669932
1744588800000,2025-04-14,6278775,97669932
